date,hour,prediction,real
42321.000,15.000,31.145,35.970
42321.000,16.000,31.925,39.970
42321.000,17.000,33.507,35.950
42321.000,18.000,32.751,34.490
42321.000,19.000,31.316,28.440
42321.000,20.000,30.345,23.300
42321.000,21.000,29.909,23.010
42321.000,22.000,29.414,21.490
42321.000,23.000,28.079,19.590
42322.000,0.000,26.617,18.400
42322.000,1.000,25.722,16.480
42322.000,2.000,24.919,15.000
42322.000,3.000,24.326,15.750
42322.000,4.000,23.822,16.390
42322.000,5.000,24.135,18.380
42322.000,6.000,25.503,19.460
42322.000,7.000,27.766,20.550
42322.000,8.000,29.451,21.070
42322.000,9.000,30.425,21.280
42322.000,10.000,30.543,21.590
42322.000,11.000,29.943,21.510
42322.000,12.000,29.356,21.340
42322.000,13.000,28.921,21.080
42322.000,14.000,28.997,21.110
42322.000,15.000,29.858,23.270
42322.000,16.000,30.761,29.120
42322.000,17.000,31.689,29.430
42322.000,18.000,31.497,27.200
42322.000,19.000,30.646,23.360
42322.000,20.000,29.412,22.680
42322.000,21.000,28.953,22.500
42322.000,22.000,28.367,21.630
42322.000,23.000,27.412,21.490
42323.000,0.000,24.113,21.950
42323.000,1.000,23.286,21.180
42323.000,2.000,23.450,20.720
42323.000,3.000,23.896,20.030
42323.000,4.000,24.316,20.150
42323.000,5.000,25.394,20.630
42323.000,6.000,26.900,21.120
42323.000,7.000,28.865,21.340
42323.000,8.000,30.725,21.640
42323.000,9.000,31.835,22.720
42323.000,10.000,32.206,23.170
42323.000,11.000,31.818,23.260
42323.000,12.000,31.018,23.330
42323.000,13.000,30.285,23.030
42323.000,14.000,30.004,23.230
42323.000,15.000,30.547,23.640
42323.000,16.000,32.332,24.570
42323.000,17.000,34.384,25.870
42323.000,18.000,33.974,25.550
42323.000,19.000,32.515,25.000
42323.000,20.000,31.040,24.320
42323.000,21.000,30.064,24.010
42323.000,22.000,28.958,23.810
42323.000,23.000,28.084,23.340
42324.000,0.000,27.125,23.240
