Date,Hour
42167,23
42168,0
42168,1
42168,2
42168,3
42168,4
42168,5
42168,6
42168,7
42168,8
42168,9
42168,10
42168,11
42168,12
42168,13
42168,14
42168,15
42168,16
42168,17
42168,18
42168,19
42168,20
42168,21
42168,22
42168,23
42169,0
42169,1
42169,2
42169,3
42169,4
42169,5
42169,6
42169,7
42169,8
42169,9
42169,10
42169,11
42169,12
42169,13
42169,14
42169,15
42169,16
42169,17
42169,18
42169,19
42169,20
42169,21
42169,22
42169,23
42170,0
42170,1
42170,2
42170,3
42170,4
42170,5
42170,6
42170,7
42170,8
42170,9
42170,10
42170,11
42170,12
42170,13
42170,14
42170,15
42170,16
42170,17
42170,18
42170,19
42170,20
42170,21
42170,22
42170,23
42171,0
42171,1
42171,2
42171,3
42171,4
42171,5
42171,6
42171,7
42171,8
42171,9
42171,10
42171,11
42171,12
42171,13
42171,14
42171,15
42171,16
42171,17
42171,18
42171,19
42171,20
42171,21
42171,22
42171,23
42172,0
42172,1
42172,2
42172,3
42172,4
42172,5
42172,6
42172,7
42172,8
42172,9
42172,10
42172,11
42172,12
42172,13
42172,14
42172,15
42172,16
42172,17
42172,18
42172,19
42172,20
42172,21
42172,22
42172,23
42173,0
42173,1
42173,2
42173,3
42173,4
42173,5
42173,6
42173,7
42173,8
42173,9
42173,10
42173,11
42173,12
42173,13
42173,14
42173,15
42173,16
42173,17
42173,18
42173,19
42173,20
42173,21
42173,22
42173,23
42174,0
42174,1
42174,2
42174,3
42174,4
42174,5
42174,6
42174,7
42174,8
42174,9
42174,10
42174,11
42174,12
42174,13
42174,14
42174,15
42174,16
42174,17
42174,18
42174,19
42174,20
42174,21
42174,22
42174,23
42175,0
42175,1
42175,2
42175,3
42175,4
42175,5
42175,6
42175,7
42175,8
42175,9
42175,10
42175,11
42175,12
42175,13
42175,14
42175,15
42175,16
42175,17
42175,18
42175,19
42175,20
42175,21
42175,22
42175,23
42176,0
42176,1
42176,2
42176,3
42176,4
42176,5
42176,6
42176,7
42176,8
42176,9
42176,10
42176,11
42176,12
42176,13
42176,14
42176,15
42176,16
42176,17
42176,18
42176,19
42176,20
42176,21
42176,22
42176,23
42177,0
42177,1
42177,2
42177,3
42177,4
42177,5
42177,6
42177,7
42177,8
42177,9
42177,10
42177,11
42177,12
42177,13
42177,14
42177,15
42177,16
42177,17
42177,18
42177,19
42177,20
42177,21
42177,22
42177,23
42178,0
42178,1
42178,2
42178,3
42178,4
42178,5
42178,6
42178,7
42178,8
42178,9
42178,10
42178,11
42178,12
42178,13
42178,14
42178,15
42178,16
42178,17
42178,18
42178,19
42178,20
42178,21
42178,22
42178,23
42179,0
42179,1
42179,2
42179,3
42179,4
42179,5
42179,6
42179,7
42179,8
42179,9
42179,10
42179,11
42179,12
42179,13
42179,14
42179,15
42179,16
42179,17
42179,18
42179,19
42179,20
42179,21
42179,22
42179,23
42180,0
42180,1
42180,2
42180,3
42180,4
42180,5
42180,6
42180,7
42180,8
42180,9
42180,10
42180,11
42180,12
42180,13
42180,14
42180,15
42180,16
42180,17
42180,18
42180,19
42180,20
42180,21
42180,22
42180,23
42181,0
42181,1
42181,2
42181,3
42181,4
42181,5
42181,6
42181,7
42181,8
42181,9
42181,10
42181,11
42181,12
42181,13
42181,14
42181,15
42181,16
42181,17
42181,18
42181,19
42181,20
42181,21
42181,22
42181,23
42182,0
42182,1
42182,2
42182,3
42182,4
42182,5
42182,6
42182,7
42182,8
42182,9
42182,10
42182,11
42182,12
42182,13
42182,14
42182,15
42182,16
42182,17
42182,18
42182,19
42182,20
42182,21
42182,22
42182,23
42183,0
42183,1
42183,2
42183,3
42183,4
42183,5
42183,6
42183,7
42183,8
42183,9
42183,10
42183,11
42183,12
42183,13
42183,14
42183,15
42183,16
42183,17
42183,18
42183,19
42183,20
42183,21
42183,22
42183,23
42184,0
42184,1
42184,2
42184,3
42184,4
42184,5
42184,6
42184,7
42184,8
42184,9
42184,10
42184,11
42184,12
42184,13
42184,14
42184,15
42184,16
42184,17
42184,18
42184,19
42184,20
42184,21
42184,22
42184,23
42185,0
42185,1
42185,2
42185,3
42185,4
42185,5
42185,6
42185,7
42185,8
42185,9
42185,10
42185,11
42185,12
42185,13
42185,14
42185,15
42185,16
42185,17
42185,18
42185,19
42185,20
42185,21
42185,22
42185,23
42186,0
42186,1
42186,2
42186,3
42186,4
42186,5
42186,6
42186,7
42186,8
42186,9
42186,10
42186,11
42186,12
42186,13
42186,14
42186,15
42186,16
