date,hour,prediction,real
42339.000,5.000,27.775,28.130
42339.000,6.000,31.274,45.020
42339.000,7.000,36.723,51.340
42339.000,8.000,36.915,49.580
42339.000,9.000,36.156,34.480
42339.000,10.000,36.315,25.780
42339.000,11.000,36.432,39.930
42339.000,12.000,34.755,35.870
42339.000,13.000,35.285,35.830
42339.000,14.000,36.096,50.010
42339.000,15.000,36.396,51.340
42339.000,16.000,36.839,51.340
42339.000,17.000,37.826,48.190
42339.000,18.000,36.824,39.930
42339.000,19.000,34.675,28.530
42339.000,20.000,32.031,24.660
42339.000,21.000,31.425,23.730
42339.000,22.000,30.170,22.930
42339.000,23.000,27.463,22.240
42340.000,0.000,24.597,22.990
42340.000,1.000,22.431,22.520
42340.000,2.000,21.924,21.720
42340.000,3.000,22.526,21.790
42340.000,4.000,26.534,23.060
42340.000,5.000,30.973,28.520
42340.000,6.000,34.913,35.040
42340.000,7.000,38.880,51.350
42340.000,8.000,39.686,51.360
42340.000,9.000,38.328,49.590
42340.000,10.000,38.394,34.930
42340.000,11.000,37.919,51.340
42340.000,12.000,37.264,51.400
42340.000,13.000,37.211,51.390
42340.000,14.000,37.763,58.560
42340.000,15.000,37.239,60.080
42340.000,16.000,37.022,64.970
42340.000,17.000,38.013,64.910
42340.000,18.000,37.176,60.020
42340.000,19.000,34.516,46.360
42340.000,20.000,31.777,23.380
42340.000,21.000,30.850,23.090
42340.000,22.000,29.587,22.190
42340.000,23.000,27.251,21.220
42341.000,0.000,25.169,20.760
42341.000,1.000,23.296,20.320
42341.000,2.000,23.098,20.260
42341.000,3.000,23.905,20.580
42341.000,4.000,26.728,21.480
42341.000,5.000,30.114,25.770
42341.000,6.000,32.657,34.980
42341.000,7.000,36.783,51.590
42341.000,8.000,36.838,49.460
42341.000,9.000,35.156,38.030
42341.000,10.000,34.659,29.560
42341.000,11.000,34.791,42.960
42341.000,12.000,34.063,35.970
42341.000,13.000,34.723,37.100
42341.000,14.000,35.084,49.910
42341.000,15.000,35.433,51.570
42341.000,16.000,36.229,51.580
42341.000,17.000,36.739,37.880
42341.000,18.000,34.131,42.930
42341.000,19.000,32.484,26.180
42341.000,20.000,30.550,23.590
42341.000,21.000,30.171,22.930
42341.000,22.000,28.337,22.290
42341.000,23.000,25.079,21.220
42342.000,0.000,22.560,19.490
42342.000,1.000,20.134,18.690
42342.000,2.000,19.242,17.370
42342.000,3.000,19.568,16.830
42342.000,4.000,22.473,17.190
42342.000,5.000,27.046,25.920
42342.000,6.000,30.115,34.940
42342.000,7.000,32.491,42.980
42342.000,8.000,32.613,34.980
42342.000,9.000,32.404,34.980
42342.000,10.000,32.456,21.950
42342.000,11.000,32.295,34.930
42342.000,12.000,31.271,34.930
42342.000,13.000,30.803,34.920
42342.000,14.000,31.025,34.990
42342.000,15.000,31.239,52.110
42342.000,16.000,32.151,52.110
42342.000,17.000,32.906,42.900
42342.000,18.000,31.776,34.980
42342.000,19.000,30.426,24.620
42342.000,20.000,28.935,20.800
42342.000,21.000,28.350,20.450
42342.000,22.000,26.966,19.710
42342.000,23.000,24.476,18.290
42343.000,0.000,20.718,16.280
42343.000,1.000,19.109,14.940
42343.000,2.000,17.770,13.510
42343.000,3.000,17.427,13.130
42343.000,4.000,17.077,13.390
42343.000,5.000,18.976,14.030
42343.000,6.000,20.575,15.460
42343.000,7.000,23.401,15.610
42343.000,8.000,25.376,15.390
42343.000,9.000,25.912,15.270
42343.000,10.000,26.151,15.740
42343.000,11.000,26.360,15.810
42343.000,12.000,26.165,15.520
42343.000,13.000,26.306,15.200
42343.000,14.000,27.252,15.170
42343.000,15.000,28.789,15.760
42343.000,16.000,29.881,16.780
42343.000,17.000,29.880,17.520
42343.000,18.000,28.560,16.550
42343.000,19.000,26.384,15.910
42343.000,20.000,24.262,15.850
42343.000,21.000,25.328,15.000
42343.000,22.000,24.464,14.660
42343.000,23.000,21.883,13.050
42344.000,0.000,18.516,7.720
42344.000,1.000,16.641,4.690
42344.000,2.000,16.099,4.130
42344.000,3.000,16.033,3.640
42344.000,4.000,16.557,3.960
42344.000,5.000,18.024,4.490
